Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2014,Cangkringan,Sleman,48.62721596,40.47519202,83.2356762,0.100011502,0.205669808,4.252163338,8.744410418,3.798962833,7.812421004
2014,Danurejan,Kota Yogyakarta,1.068303758,0.004332416,0.405541627,0,0,0.873686026,81.78254727,0.190285316,17.8119111
2014,Depok,Sleman,32.12120046,8.071557056,25.12844146,0.014652204,0.045615369,18.65506169,58.07709992,5.379929515,16.74884325
2014,Gamping,Sleman,29.11178622,15.94875287,54.78452181,0.007087854,0.024347026,10.57048442,36.3099823,2.585461071,8.881148865
2014,Gedongtengen,Kota Yogyakarta,0.942360865,0.00950908,1.009069948,0,0,0.7314934,77.62349086,0.201358385,21.36743919
2014,Godean,Sleman,26.74955973,15.91473296,59.49530805,0.02126325,0.079490094,8.856089431,33.10742128,1.957474088,7.317780581
2014,Gondokusuman,Kota Yogyakarta,4.055542786,0.114506349,2.823453123,0,0,3.087951292,76.1415045,0.853085144,21.03504238
2014,Gondomanan,Kota Yogyakarta,1.072507251,0.02214802,2.065069501,0,0,0.85632538,79.84331845,0.194033851,18.09161205
2014,Jetis,Bantul,23.52780964,16.80579051,71.42947332,0.198422992,0.843355142,5.181797968,22.024141,1.341798169,5.703030539
2014,Jetis,Kota Yogyakarta,1.778561716,0.022795085,1.281658373,0,0,1.394080514,78.38246495,0.361686117,20.33587668
2014,Kalasan,Sleman,35.82102976,21.89193345,61.11475186,0.015948499,0.044522726,11.16524154,31.16951583,2.747906267,7.671209582
2014,Kasihan,Bantul,32.09275592,18.72503428,58.34660733,0,0,10.98323875,34.2234203,2.384482898,7.42997237
2014,Kotagede,Kota Yogyakarta,2.969277587,0.2409433,8.114542791,0,0,2.424631656,81.65729156,0.30370263,10.22816565
2014,Kraton,Kota Yogyakarta,1.569387203,0.011516751,0.733837451,0,0,1.355630685,86.37961892,0.202239767,12.88654363
2014,Mantrijeron,Kota Yogyakarta,2.599556538,0.119507274,4.597217724,0,0,2.181903407,83.93367771,0.298145858,11.46910456
2014,Mergangsan,Kota Yogyakarta,2.367042703,0.072497064,3.06276958,8.86E-04,0.037425946,1.933778975,81.69599019,0.359880777,15.20381428
2014,Minggir,Sleman,26.89147495,20.92071703,77.79683735,0.259844851,0.966272216,4.108986179,15.27988401,1.601926892,5.957006432
2014,Mlati,Sleman,28.45928107,15.9936005,56.19818877,0.013290286,0.046699303,9.436635693,33.15837695,3.015754594,10.59673499
2014,Moyudan,Sleman,27.50111396,21.51024478,78.21590358,0.193016318,0.701849089,4.115199769,14.96375665,1.682653096,6.118490684
2014,Ngaglik,Sleman,38.37208369,23.15056277,60.3317843,0.001772319,0.004618772,11.66278178,30.39392355,3.556966825,9.269673373
2014,Ngampilan,Kota Yogyakarta,0.812149662,0.007261041,0.894052075,0,0,0.666966078,82.12354316,0.137922543,16.98240476
2014,Ngemplak,Sleman,36.5789438,25.63640663,70.08514727,0.031928772,0.087287298,8.187569636,22.38328608,2.72303876,7.444279351
2014,Pajangan,Bantul,33.28796194,29.58691947,88.88173905,0.26824315,0.805826293,2.448124227,7.354383039,0.984675097,2.958051618
2014,Pakem,Sleman,46.01997161,39.59129629,86.03068385,0.234167257,0.508838335,3.064814218,6.659748172,3.124382143,6.789187462
2014,Pakualaman,Kota Yogyakarta,0.642731472,0.002657765,0.413510969,0,0,0.558801568,86.94168449,0.081272138,12.64480454
2014,Piyungan,Bantul,33.25755314,25.9819216,78.12337093,8.86E-04,0.002663551,4.55645086,13.70049937,2.718294847,8.173466147
2014,Pleret,Bantul,24.19801929,18.21328988,75.26768892,0.026573181,0.109815523,3.876119862,16.01833528,2.082036364,8.604160277
2014,Sedayu,Bantul,34.18604421,28.37235175,82.9939597,0.244826822,0.71616014,4.067780485,11.89895052,1.501085149,4.390929642
2014,Sewon,Bantul,27.90038464,13.39840783,48.02230508,0.034528682,0.12375701,11.85922396,42.50559307,2.608224168,9.348344838
2014,Seyegan,Sleman,26.5335286,20.46856569,77.14226778,0.017720599,0.066785684,4.290064817,16.168467,1.7571775,6.622479529
2014,Sleman,Sleman,31.25154716,22.35125297,71.5204686,0.005316529,0.017012052,6.154429751,19.69320021,2.740547906,8.769319139
2014,Tegalrejo,Kota Yogyakarta,2.970089006,0.28357928,9.547837768,0.001771911,0.059658507,2.186087458,73.60343254,0.498650358,16.78907118
2014,Turi,Sleman,40.46445647,38.98216184,96.33679836,0.005317408,0.013140934,0.691274277,1.708349345,0.785702947,1.941711357
2014,Umbulharjo,Kota Yogyakarta,8.226847278,0.779738973,9.477980409,0.00974476,0.118450719,6.040402697,73.42305615,1.396960849,16.98051272
2014,Wirobrajan,Kota Yogyakarta,1.740886123,0.035474645,2.037734938,0,0,1.501056699,86.22371554,0.20435478,11.73854952
2019,Banguntapan,Bantul,28.41951806,15.11310963,53.17862743,0.272822691,0.959983525,10.93765816,38.48643083,2.095927581,7.374958211
2019,Bantul,Bantul,21.80665708,16.20879754,74.32958422,0.154264998,0.707421579,4.566718864,20.94185664,0.876875679,4.02113756
2019,Berbah,Sleman,25.04620459,18.04030124,72.02808381,0.178344942,0.712063745,5.255894614,20.9847947,1.5716638,6.275057742
2019,Cangkringan,Sleman,48.62721596,43.60738852,89.67691788,0.598522096,1.230837678,3.340623752,6.869864306,1.080681589,2.222380138
2019,Danurejan,Kota Yogyakarta,1.068303758,0.023802205,2.228037208,8.86E-04,0.082929843,0.908657867,85.05613318,0.134957743,12.63289977
2019,Depok,Sleman,32.12120046,10.38170311,32.32040819,0.188997602,0.588388975,18.17549298,56.58410247,3.37500677,10.50710036
2019,Gamping,Sleman,29.11178622,17.46766551,60.00203964,0.292559475,1.004951991,10.14951253,34.86392916,1.201162813,4.126036114
2019,Gedongtengen,Kota Yogyakarta,0.942360865,0.025827667,2.740740625,0,0,0.818141808,86.81831324,0.09839139,10.44094614
2019,Godean,Sleman,26.74955973,19.03280491,71.15184362,0.111951213,0.418516095,6.765788261,25.29308268,0.839015349,3.136557599
2019,Gondokusuman,Kota Yogyakarta,4.055542786,0.239369963,5.902291633,0.013817374,0.340703446,3.148860749,77.64338623,0.6534947,16.11361869
2019,Gondomanan,Kota Yogyakarta,1.072507251,0.049326677,4.599192861,0.005468423,0.50987282,0.810900594,75.60793583,0.206811557,19.28299849
2019,Jetis,Bantul,23.52780964,20.15470344,85.66332245,0.300299217,1.27635858,2.345022592,9.967024675,0.727784394,3.093294296
2019,Jetis,Kota Yogyakarta,1.778561716,0.070362135,3.956125564,8.86E-04,0.049814147,1.47407359,82.8800922,0.233240016,13.11396809
2019,Kalasan,Sleman,35.82102976,24.90095787,69.51491354,0.378954832,1.057911608,9.517367562,26.56921821,1.023749499,2.85795664
2019,Kasihan,Bantul,32.09275592,20.22119194,63.00858671,0.135940419,0.423585993,10.35756392,32.27383757,1.378059643,4.293989729
2019,Kotagede,Kota Yogyakarta,2.969277587,0.350681295,11.81032373,0.003505347,0.118053861,2.365430815,79.6635123,0.249660129,8.408110107
2019,Kraton,Kota Yogyakarta,1.569387203,0.032173929,2.050095031,0.001771813,0.112898397,1.342206685,85.52425317,0.193234776,12.3127534
2019,Mantrijeron,Kota Yogyakarta,2.599556538,0.160115373,6.159334121,0.001771756,0.068156072,2.213867376,85.16327086,0.223802034,8.60923895
